Avg TCP Retrans. Vol (Bytes),Avg RTT (ms),Avg Throughput (kbps),Cluster
2217322.7918246756,52.39696244990486,6553.878918537438,0
1073967398.1047382,71.43147619047619,35644.45514285715,1
948517.37990196,5142.496732026145,1248.5751633986947,2
